id,device_id,product_code_id,is_primary
798,K760916,DEM,1
799,K760917,DFT,1
800,K760918,GFO,1
801,K760919,HGM,1
802,K760920,CHT,1
803,K760921,FRF,1
804,K760922,KDL,1
805,K760923,BTT,1
806,K760924,HHD,1
807,K760926,DPS,1
808,K760927,EXE,1
809,K760928,JTQ,1
810,K760929,EFB,1
811,K760930,DXN,1
812,K760931,FLN,1
813,K760932,KKX,1
814,K760933,KKX,1
815,K760935,KOC,1
816,K760936,DKZ,1
817,K760937,KKX,1
818,K760938,BTT,1
819,K760939,CGR,1
820,K760941,BYG,1
821,K760942,DKD,1
822,K760943,KNY,1
823,K760944,DQX,1
824,K760945,KNT,1
825,K760946,CDD,1
826,K760947,GXY,1
827,K760948,FLL,1
828,K760949,HJI,1
829,K760950,IQI,1
830,K760951,KYR,1
831,K760952,KSR,1
832,K760953,GEH,1
833,K760954,FME,1
834,K760956,DZA,1
835,K760957,DZH,1
836,K760958,DZH,1
837,K760959,EMM,1
838,K760960,DZJ,1
839,K760961,HCH,1
840,K760963,IKY,1
841,K760964,CAF,1
842,K760965,FKQ,1
843,K760966,FOS,1
844,K760967,KLB,1
845,K760968,KXN,1
846,K760969,CHL,1
847,K760970,HWN,1
848,K760971,BZK,1
849,K760972,KYT,1
850,K760973,FIQ,1
851,K760974,JDG,1
852,K760975,JJK,1
853,K760976,JDG,1
854,K760977,HWE,1
855,K760978,EMA,1
856,K760979,EBF,1
857,K760980,EJJ,1
858,K760981,ELW,1
859,K760982,LBH,1
860,K760983,EKN,1
861,K760984,JEX,1
862,K760985,EKW,1
863,K760986,EJL,1
864,K760987,DZP,1
865,K760989,CDO,1
866,K760990,CEO,1
867,K760991,FXX,1
868,K760993,BZO,1
869,K760994,KOC,1
870,K760995,FJZ,1
871,K760996,ESD,1
872,K760997,KKX,1
873,K760998,BTR,1
874,K760999,IYM,1
875,K761000,LEA,1
876,K761001,LEA,1
877,K761002,JDG,1
878,K761003,JDG,1
879,K761004,IZF,1
880,K761007,FJI,1
881,K761008,LGO,1
882,K761009,LGO,1
883,K761011,JOJ,1
884,K761012,FNM,1
885,K761013,JQC,1
886,K761014,DPS,1
887,K761015,FRC,1
888,K761017,DRQ,1
889,K761018,FQP,1
890,K761019,JRW,1
891,K761020,HSN,1
892,K761021,HSN,1
893,K761022,IXK,1
894,K761023,DPS,1
895,K761024,EIG,1
896,K761025,BTM,1
897,K761026,CIX,1
898,K761027,CIG,1
899,K761028,CIX,1
900,K761029,CJY,1
901,K761030,HGM,1
902,K761031,DXE,1
903,K761032,FLE,1
904,K761033,JAK,1
905,K761034,EFQ,1
906,K761035,GDZ,1
907,K761036,HSQ,1
908,K761037,EFQ,1
909,K761038,KOC,1
910,K761039,KNX,1
911,K761040,IOL,1
912,K761041,IOL,1
913,K761049,KCX,1
914,K761050,FIR,1
915,K761051,KOC,1
916,K761052,HEM,1
917,K761053,GZJ,1
918,K761055,DSF,1
919,K761056,DRR,1
920,K761057,DXN,1
921,K761058,GGP,1
922,K761059,KOD,1
923,K761060,CGA,1
924,K761061,CDS,1
925,K761062,IEO,1
926,K761063,JQP,1
927,K761064,GDW,1
928,K761065,BTM,1
929,K761066,DXH,1
930,K761068,FYF,1
931,K761069,FYF,1
932,K761070,FXY,1
933,K761071,FYF,1
934,K761072,FXP,1
935,K761073,DXH,1
936,K761074,DSH,1
937,K761076,DRT,1
938,K761077,DSF,1
939,K761078,KOC,1
940,K761079,BYY,1
